,01_95stain1-120716_S1_merged_R1.fastq.gz.fq.gzAligned.sortedByCoord.out.down_sampled
ENSG00000066379.14,103
ENSG00000066422.4,38
ENSG00000066427.21,8
ENSG00000066455.12,48
ENSG00000066557.5,82
ENSG00000066583.11,26
ENSG00000066651.17,23
ENSG00000066654.12,28
ENSG00000066697.14,7
ENSG00000066777.8,60
ENSG00000066855.15,53
ENSG00000066926.10,51
ENSG00000067057.16,31
ENSG00000067064.10,437
ENSG00000067066.16,49
ENSG00000067082.14,108
ENSG00000067167.7,202
ENSG00000067182.7,14
ENSG00000067225.17,657
ENSG00000067248.9,19
ENSG00000067334.13,100
ENSG00000067365.14,14
ENSG00000067533.5,15
ENSG00000067560.10,357
ENSG00000067596.10,50
ENSG00000067704.9,38
ENSG00000067829.18,108
ENSG00000067836.12,1
ENSG00000067900.6,74
ENSG00000067955.13,13
ENSG00000068028.17,106
ENSG00000068079.7,24
ENSG00000068097.14,13
ENSG00000068120.14,45
ENSG00000068305.17,7
ENSG00000068308.13,17
ENSG00000068366.19,7
ENSG00000068383.18,1
ENSG00000068394.10,39
ENSG00000068400.13,52
ENSG00000068438.14,92
ENSG00000068697.6,239
ENSG00000068724.15,1
ENSG00000068745.14,32
ENSG00000068784.12,36
ENSG00000068796.16,130
ENSG00000068831.18,25
ENSG00000068878.14,15
ENSG00000068885.14,13
ENSG00000068903.19,1
ENSG00000068912.13,73
ENSG00000068985.4,372
ENSG00000069011.15,1
ENSG00000069020.18,28
ENSG00000069248.11,19
ENSG00000069275.12,114
ENSG00000069329.15,191
ENSG00000069345.11,90
ENSG00000069424.14,1
ENSG00000069482.6,152
ENSG00000069509.5,115
ENSG00000069667.15,4
ENSG00000069702.10,1
ENSG00000069849.10,457
ENSG00000069869.15,2
ENSG00000069956.11,29
ENSG00000069966.18,1
ENSG00000069974.15,96
ENSG00000069998.12,23
ENSG00000070010.18,480
ENSG00000070047.11,2
ENSG00000070081.15,644
ENSG00000070190.12,30
ENSG00000070367.15,9
ENSG00000070413.18,9
ENSG00000070423.17,54
ENSG00000070476.14,29
ENSG00000070495.14,90
ENSG00000070501.11,26
ENSG00000070526.14,97
ENSG00000070540.12,1
ENSG00000070669.16,471
ENSG00000070718.11,55
ENSG00000070756.13,522
ENSG00000070759.16,3
ENSG00000070761.7,9
ENSG00000070770.8,26
ENSG00000070785.16,78
ENSG00000070814.17,5
ENSG00000070831.15,142
ENSG00000070950.9,97
ENSG00000070961.14,57
ENSG00000071051.13,81
ENSG00000071054.15,22
