,01_95stain1-120716_S1_merged_R1.fastq.gz.fq.gzAligned.sortedByCoord.out.down_sampled
ENSG00000148690.11,48
ENSG00000148719.14,48
ENSG00000148730.6,91
ENSG00000148773.12,75
ENSG00000148803.11,53
ENSG00000148832.14,22
ENSG00000148834.12,384
ENSG00000148841.15,28
ENSG00000148843.13,34
ENSG00000148908.14,37
ENSG00000148925.10,60
ENSG00000148943.11,39
ENSG00000148950.9,143
ENSG00000148985.19,18
ENSG00000149016.15,4
ENSG00000149054.14,3
ENSG00000149084.11,2
ENSG00000149091.15,14
ENSG00000149100.12,139
ENSG00000149136.7,71
ENSG00000149150.8,8
ENSG00000149177.12,20
ENSG00000149179.13,27
ENSG00000149182.14,59
ENSG00000149187.17,27
ENSG00000149196.15,314
ENSG00000149212.10,12
ENSG00000149231.11,70
ENSG00000149257.13,21
ENSG00000149273.14,1495
ENSG00000149289.10,9
ENSG00000149308.16,10
ENSG00000149311.17,24
ENSG00000149313.10,120
ENSG00000149328.14,3
ENSG00000149357.9,153
ENSG00000149428.18,5
ENSG00000149480.6,6
ENSG00000149485.16,321
ENSG00000149499.11,7
ENSG00000149531.14,56
ENSG00000149532.15,19
ENSG00000149541.9,98
ENSG00000149547.14,103
ENSG00000149554.12,52
ENSG00000149557.12,2
ENSG00000149600.11,185
ENSG00000149636.15,19
ENSG00000149743.13,143
ENSG00000149761.8,17
ENSG00000149781.12,133
ENSG00000149792.8,57
ENSG00000149806.10,1415
ENSG00000149809.14,152
ENSG00000149923.13,372
ENSG00000149925.16,5088
ENSG00000149926.13,3
ENSG00000149929.15,49
ENSG00000149932.16,266
ENSG00000150093.18,34
ENSG00000150316.11,147
ENSG00000150401.14,20
ENSG00000150403.17,42
ENSG00000150433.9,87
ENSG00000150456.10,1
ENSG00000150459.12,260
ENSG00000150477.14,55
ENSG00000150527.16,19
ENSG00000150540.13,32
ENSG00000150593.15,37
ENSG00000150753.11,59
ENSG00000150756.13,42
ENSG00000150776.17,1
ENSG00000150779.11,122
ENSG00000150787.7,76
ENSG00000150867.13,70
ENSG00000150961.14,8
ENSG00000150977.10,10
ENSG00000150990.7,1
ENSG00000150991.14,1157
ENSG00000150995.17,1
ENSG00000151012.13,55
ENSG00000151092.16,125
ENSG00000151093.7,17
ENSG00000151116.16,27
ENSG00000151131.9,1
ENSG00000151135.9,81
ENSG00000151151.5,8
ENSG00000151176.7,5
ENSG00000151239.13,1
ENSG00000151247.12,12
ENSG00000151276.23,17
ENSG00000151287.16,83
ENSG00000151292.17,18
ENSG00000151304.5,19
ENSG00000151327.12,118
ENSG00000151332.18,26
ENSG00000151338.18,26
ENSG00000151348.13,44
ENSG00000151353.14,56
ENSG00000151366.12,138
ENSG00000151413.16,14
ENSG00000151414.14,36
ENSG00000151422.12,24
ENSG00000151458.11,21
ENSG00000151461.19,74
ENSG00000151465.13,260
ENSG00000151466.11,32
ENSG00000151470.12,84
ENSG00000151498.11,1
ENSG00000151500.14,147
ENSG00000151502.10,11
ENSG00000151503.12,27
ENSG00000151552.11,48
ENSG00000151576.10,36
ENSG00000151632.16,10
ENSG00000151657.11,1
ENSG00000151665.12,6
ENSG00000151725.11,460
ENSG00000151726.13,1
ENSG00000151729.10,342
ENSG00000151779.12,43
ENSG00000151806.13,23
ENSG00000151849.14,17
ENSG00000151876.12,96
ENSG00000151881.14,29
ENSG00000151893.14,1
ENSG00000151914.17,36
ENSG00000151923.17,32
ENSG00000151929.9,1
ENSG00000152078.9,5
ENSG00000152082.13,174
ENSG00000152102.17,33
ENSG00000152117.17,12
ENSG00000152133.14,27
ENSG00000152147.10,39
ENSG00000152213.3,18
ENSG00000152217.16,17
ENSG00000152219.4,74
ENSG00000152234.15,64
ENSG00000152240.12,182
ENSG00000152253.8,186
ENSG00000152256.13,42
ENSG00000152291.13,2
ENSG00000152348.15,22
ENSG00000152359.14,82
ENSG00000152382.5,37
ENSG00000152404.15,6
ENSG00000152422.15,74
ENSG00000152457.17,17
ENSG00000152464.14,30
ENSG00000152492.13,199
ENSG00000152518.6,4
ENSG00000152527.13,27
ENSG00000152556.15,16
ENSG00000152558.14,140
ENSG00000152582.12,16
ENSG00000152601.17,33
ENSG00000152620.12,49
ENSG00000152642.10,18
ENSG00000152683.14,68
ENSG00000152684.10,132
ENSG00000152700.13,67
ENSG00000152749.7,9
ENSG00000152763.16,19
ENSG00000152782.16,29
ENSG00000152795.17,133
ENSG00000152804.10,37
ENSG00000152904.11,289
ENSG00000152926.14,123
ENSG00000152942.18,9
ENSG00000152944.8,1
ENSG00000153006.14,139
ENSG00000153015.15,31
ENSG00000153029.14,11
ENSG00000153037.12,212
ENSG00000153044.9,356
ENSG00000153046.17,4
ENSG00000153048.10,28
ENSG00000153066.12,14
ENSG00000153071.14,43
ENSG00000153113.23,50
ENSG00000153130.17,58
ENSG00000153132.12,12
ENSG00000153140.8,281
ENSG00000153147.5,84
ENSG00000153157.12,15
ENSG00000153187.16,273
ENSG00000153201.15,51
ENSG00000153207.14,32
ENSG00000153214.9,35
ENSG00000153233.12,14
ENSG00000153234.13,3
ENSG00000153250.17,42
ENSG00000153283.12,14
ENSG00000153310.18,125
ENSG00000153317.14,9
ENSG00000153339.13,31
ENSG00000153363.12,152
ENSG00000153391.15,75
ENSG00000153406.13,37
ENSG00000153443.12,2
ENSG00000153487.12,17
ENSG00000153560.11,5
ENSG00000153561.12,59
ENSG00000153684.14,5
ENSG00000153721.17,28
ENSG00000153767.9,2
ENSG00000153774.8,54
ENSG00000153815.16,6
ENSG00000153827.13,11
ENSG00000153879.8,359
ENSG00000153914.15,30
ENSG00000153922.10,23
ENSG00000153933.9,16
ENSG00000153936.16,28
ENSG00000153944.10,18
ENSG00000153976.2,4
ENSG00000154001.13,7
ENSG00000154059.9,1
ENSG00000154079.5,21
ENSG00000154122.12,12
ENSG00000154124.4,1
ENSG00000154144.12,85
ENSG00000154146.12,12
ENSG00000154174.7,7
ENSG00000154229.11,31
ENSG00000154305.16,37
ENSG00000154328.15,1
ENSG00000154358.19,19
ENSG00000154370.13,27
ENSG00000154473.17,337
ENSG00000154479.12,1
ENSG00000154518.9,1515
ENSG00000154582.16,544
ENSG00000154589.6,92
ENSG00000154640.14,182
ENSG00000154654.14,27
ENSG00000154710.15,5
ENSG00000154719.13,192
ENSG00000154723.12,2368
ENSG00000154727.10,23
ENSG00000154743.17,39
ENSG00000154767.14,27
ENSG00000154781.15,32
ENSG00000154813.9,66
ENSG00000154814.13,39
ENSG00000154832.14,24
ENSG00000154889.16,1
ENSG00000154917.10,1
ENSG00000154920.14,1
ENSG00000154978.12,7
ENSG00000155008.13,2
ENSG00000155090.14,81
ENSG00000155096.13,87
ENSG00000155097.11,55
ENSG00000155099.7,85
ENSG00000155100.10,26
ENSG00000155111.14,41
ENSG00000155115.6,236
ENSG00000155189.11,19
ENSG00000155254.12,6
ENSG00000155304.5,184
ENSG00000155307.17,246
ENSG00000155313.15,12
ENSG00000155329.11,44
ENSG00000155330.9,37
ENSG00000155363.18,23
ENSG00000155366.16,207
ENSG00000155368.16,499
ENSG00000155380.11,26
ENSG00000155438.11,102
ENSG00000155463.12,51
ENSG00000155495.8,44
ENSG00000155506.16,50
ENSG00000155508.13,79
ENSG00000155511.17,2
ENSG00000155545.19,1
ENSG00000155561.14,96
ENSG00000155592.15,10
ENSG00000155621.14,38
ENSG00000155660.10,416
ENSG00000155749.12,6
ENSG00000155755.18,49
ENSG00000155827.11,5
ENSG00000155849.15,1
ENSG00000155858.5,21
ENSG00000155868.7,12
ENSG00000155876.5,104
ENSG00000155957.16,44
ENSG00000155959.10,252
ENSG00000155962.12,90
ENSG00000155975.9,12
ENSG00000156017.12,23
ENSG00000156030.12,1
ENSG00000156110.13,58
ENSG00000156136.9,94
ENSG00000156162.16,4
ENSG00000156170.12,4
ENSG00000156171.14,282
ENSG00000156206.13,24
ENSG00000156253.6,52
ENSG00000156256.14,78
ENSG00000156261.12,698
ENSG00000156269.4,24
ENSG00000156273.15,55
ENSG00000156304.14,17
ENSG00000156374.14,47
ENSG00000156384.14,26
ENSG00000156398.12,9
ENSG00000156411.9,637
ENSG00000156467.9,556
ENSG00000156469.8,1
ENSG00000156471.12,98
ENSG00000156482.10,29
ENSG00000156502.13,206
ENSG00000156504.16,125
ENSG00000156508.17,1060
ENSG00000156515.21,140
ENSG00000156531.16,140
ENSG00000156587.15,114
ENSG00000156603.14,89
ENSG00000156642.16,7
ENSG00000156675.15,14
ENSG00000156697.12,7
ENSG00000156709.13,11
ENSG00000156735.10,23
ENSG00000156787.16,16
ENSG00000156795.6,13
ENSG00000156802.12,174
ENSG00000156804.7,13
ENSG00000156831.7,17
ENSG00000156858.11,2
ENSG00000156873.15,47
ENSG00000156875.13,23
ENSG00000156928.4,150
ENSG00000156958.14,28
ENSG00000156970.12,27
ENSG00000156973.13,2
ENSG00000156976.14,262
ENSG00000156990.14,96
ENSG00000157014.10,18
ENSG00000157020.17,531
ENSG00000157045.8,8
ENSG00000157106.16,1
ENSG00000157107.13,1
ENSG00000157181.14,80
ENSG00000157191.19,111
ENSG00000157216.15,15
ENSG00000157259.6,7
ENSG00000157303.10,68
ENSG00000157330.9,2
ENSG00000157349.15,49
ENSG00000157350.12,36
ENSG00000157379.13,33
ENSG00000157426.13,50
ENSG00000157456.7,111
ENSG00000157514.16,15
ENSG00000157538.13,70
ENSG00000157540.19,1
ENSG00000157557.11,1
ENSG00000157578.13,30
ENSG00000157593.16,21
ENSG00000157600.11,33
ENSG00000157613.10,7
ENSG00000157617.16,54
ENSG00000157625.15,1
ENSG00000157693.14,16
ENSG00000157703.15,24
ENSG00000157778.8,73
ENSG00000157796.17,9
ENSG00000157800.17,1
ENSG00000157833.12,39
ENSG00000157837.15,32
ENSG00000157869.14,40
ENSG00000157895.11,10
ENSG00000157916.18,262
ENSG00000157954.14,30
ENSG00000158019.20,46
ENSG00000158042.8,177
ENSG00000158079.14,10
ENSG00000158122.11,34
ENSG00000158169.11,7
ENSG00000158195.10,205
ENSG00000158201.9,48
ENSG00000158234.12,29
ENSG00000158286.12,2
ENSG00000158290.16,9
ENSG00000158373.8,47
ENSG00000158402.18,52
ENSG00000158411.10,201
ENSG00000158417.10,198
ENSG00000158423.16,21
ENSG00000158435.7,23
ENSG00000158517.13,3
ENSG00000158526.7,15
ENSG00000158545.15,1
ENSG00000158552.12,36
ENSG00000158578.18,1
ENSG00000158604.14,44
ENSG00000158615.8,46
ENSG00000158639.11,289
ENSG00000158669.11,6
ENSG00000158710.14,1653
ENSG00000158711.13,1
ENSG00000158716.8,20
ENSG00000158717.10,14
ENSG00000158769.17,30
ENSG00000158793.13,1
ENSG00000158864.12,34
ENSG00000158869.10,52
ENSG00000158887.15,4
ENSG00000158985.13,10
ENSG00000159023.18,16
ENSG00000159055.3,151
ENSG00000159063.12,124
ENSG00000159069.13,46
ENSG00000159079.18,228
ENSG00000159082.17,5
ENSG00000159086.14,11
ENSG00000159110.19,51
ENSG00000159111.12,81
ENSG00000159131.16,115
ENSG00000159140.17,210
ENSG00000159147.17,99
ENSG00000159176.13,174
ENSG00000159199.13,247
ENSG00000159200.17,51
ENSG00000159202.17,1
ENSG00000159210.9,28
ENSG00000159216.18,52
ENSG00000159217.9,22
ENSG00000159228.12,1
ENSG00000159256.12,81
ENSG00000159259.7,38
ENSG00000159263.15,4
ENSG00000159335.15,31
ENSG00000159346.12,209
ENSG00000159348.12,23
ENSG00000159352.15,282
ENSG00000159377.10,139
ENSG00000159399.9,46
ENSG00000159445.12,18
ENSG00000159459.11,14
ENSG00000159461.14,29
ENSG00000159479.16,273
ENSG00000159556.9,24
ENSG00000159592.10,14
ENSG00000159593.14,228
ENSG00000159596.6,145
ENSG00000159685.10,77
ENSG00000159692.15,24
ENSG00000159712.10,23
ENSG00000159720.11,65
ENSG00000159840.15,164
ENSG00000159921.14,9
ENSG00000160014.16,87
ENSG00000160049.11,94
ENSG00000160050.14,2
ENSG00000160055.19,48
ENSG00000160075.11,132
ENSG00000160087.20,101
ENSG00000160113.5,67
ENSG00000160124.9,41
ENSG00000160131.13,58
ENSG00000160180.15,12
ENSG00000160193.11,17
ENSG00000160194.17,12
ENSG00000160199.14,4
ENSG00000160208.12,1
ENSG00000160209.18,37
ENSG00000160211.15,13
ENSG00000160213.5,1189
ENSG00000160218.12,37
ENSG00000160219.11,29
ENSG00000160221.16,15
ENSG00000160226.15,1
ENSG00000160256.12,29
ENSG00000160271.14,11
ENSG00000160284.14,4
ENSG00000160298.17,27
ENSG00000160299.16,77
ENSG00000160310.16,25
ENSG00000160321.14,30
ENSG00000160345.12,11
ENSG00000160352.15,6
ENSG00000160392.13,4
ENSG00000160404.17,50
ENSG00000160408.14,7
ENSG00000160410.14,68
ENSG00000160445.10,10
ENSG00000160446.18,135
ENSG00000160447.6,10
ENSG00000160563.13,40
ENSG00000160633.12,5
ENSG00000160654.9,199
ENSG00000160678.11,1
ENSG00000160679.12,42
ENSG00000160685.13,1
ENSG00000160688.18,77
ENSG00000160691.18,8
ENSG00000160695.14,4
ENSG00000160710.15,18
ENSG00000160714.9,30
ENSG00000160746.12,49
ENSG00000160752.14,32
ENSG00000160753.15,28
ENSG00000160766.14,25
ENSG00000160783.19,176
ENSG00000160789.19,101
ENSG00000160796.16,20
ENSG00000160799.11,86
ENSG00000160813.6,14
ENSG00000160877.5,1
ENSG00000160888.6,25
ENSG00000160908.14,11
ENSG00000160917.14,26
ENSG00000160932.10,1
ENSG00000160948.13,114
ENSG00000160951.3,9
ENSG00000160953.14,1
ENSG00000160957.12,11
ENSG00000160959.7,14
ENSG00000160972.9,24
ENSG00000160993.3,2
ENSG00000161011.19,32
ENSG00000161013.16,20
ENSG00000161016.15,1361
ENSG00000161021.11,1
ENSG00000161036.10,13
ENSG00000161040.16,120
ENSG00000161057.10,605
ENSG00000161149.11,45
ENSG00000161179.13,505
ENSG00000161180.10,5
ENSG00000161203.13,438
ENSG00000161204.11,24
ENSG00000161217.11,25
ENSG00000161513.11,58
ENSG00000161526.14,120
ENSG00000161533.11,8
ENSG00000161542.16,92
ENSG00000161547.14,152
ENSG00000161558.10,1
ENSG00000161618.9,2
ENSG00000161638.10,1
ENSG00000161642.17,3
ENSG00000161671.16,23
ENSG00000161681.15,1
ENSG00000161791.13,1
ENSG00000161800.12,23
ENSG00000161813.20,36
ENSG00000161860.7,6
ENSG00000161888.11,46
ENSG00000161920.9,25
ENSG00000161956.12,17
ENSG00000161970.12,277
ENSG00000161980.5,83
ENSG00000161981.10,67
ENSG00000161999.11,7
ENSG00000162032.15,3
ENSG00000162039.14,71
ENSG00000162062.14,45
ENSG00000162073.13,1
ENSG00000162076.12,63
ENSG00000162104.9,3
ENSG00000162139.9,3
ENSG00000162174.12,21
ENSG00000162191.13,163
ENSG00000162227.7,4
ENSG00000162231.13,18
ENSG00000162236.11,9
ENSG00000162244.10,658
ENSG00000162298.16,2
ENSG00000162300.11,136
ENSG00000162337.11,12
ENSG00000162368.13,175
ENSG00000162377.5,16
ENSG00000162384.13,123
ENSG00000162385.10,189
ENSG00000162396.5,2
ENSG00000162402.12,1
ENSG00000162408.10,23
ENSG00000162413.16,26
ENSG00000162419.12,17
ENSG00000162434.11,39
ENSG00000162437.14,26
ENSG00000162441.11,93
ENSG00000162496.8,22
ENSG00000162511.7,652
ENSG00000162517.12,129
ENSG00000162521.18,47
ENSG00000162522.10,80
ENSG00000162585.16,179
ENSG00000162601.9,4
ENSG00000162604.12,87
ENSG00000162607.12,23
ENSG00000162613.16,19
ENSG00000162623.15,55
ENSG00000162642.13,22
ENSG00000162645.12,27
ENSG00000162650.15,2
ENSG00000162664.16,17
ENSG00000162676.11,15
ENSG00000162695.11,1
ENSG00000162704.15,256
ENSG00000162733.16,2
ENSG00000162735.18,100
ENSG00000162736.15,70
ENSG00000162746.14,49
ENSG00000162769.12,28
ENSG00000162772.16,241
ENSG00000162804.13,1
ENSG00000162813.17,12
ENSG00000162819.11,1
ENSG00000162851.7,29
ENSG00000162852.13,45
ENSG00000162889.10,2
ENSG00000162894.11,25
ENSG00000162909.17,68
ENSG00000162910.18,243
ENSG00000162923.14,62
ENSG00000162928.8,27
ENSG00000162929.13,27
ENSG00000162959.13,9
ENSG00000162961.13,161
ENSG00000162976.12,71
ENSG00000162980.16,28
ENSG00000162989.4,10
ENSG00000162994.15,8
ENSG00000163001.11,535
ENSG00000163002.12,90
ENSG00000163006.11,65
ENSG00000163013.11,34
ENSG00000163029.15,77
ENSG00000163040.14,67
ENSG00000163041.9,30
ENSG00000163050.16,47
ENSG00000163072.14,81
ENSG00000163104.17,59
ENSG00000163110.14,32
ENSG00000163125.15,14
ENSG00000163131.10,61
ENSG00000163132.6,1
ENSG00000163156.11,101
ENSG00000163159.11,72
ENSG00000163161.12,16
ENSG00000163162.8,88
ENSG00000163166.13,13
ENSG00000163170.11,305
ENSG00000163191.5,2583
ENSG00000163214.20,1
ENSG00000163216.6,271
ENSG00000163219.11,3
ENSG00000163257.10,69
ENSG00000163281.11,50
ENSG00000163285.7,41
ENSG00000163291.14,72
ENSG00000163297.16,40
ENSG00000163312.10,29
ENSG00000163319.10,81
ENSG00000163320.10,72
ENSG00000163322.13,1
ENSG00000163344.5,32
ENSG00000163348.3,18
ENSG00000163349.21,17
ENSG00000163359.15,30
ENSG00000163374.19,56
ENSG00000163382.11,101
ENSG00000163399.15,49
ENSG00000163466.15,275
ENSG00000163468.14,192
ENSG00000163472.18,2
ENSG00000163479.13,381
ENSG00000163497.2,1
ENSG00000163507.13,50
ENSG00000163510.13,35
ENSG00000163512.13,124
ENSG00000163513.17,47
ENSG00000163516.13,11
ENSG00000163517.14,1
ENSG00000163527.9,114
ENSG00000163535.17,83
ENSG00000163536.12,1
ENSG00000163539.15,32
ENSG00000163541.11,154
ENSG00000163554.11,1
ENSG00000163558.12,14
ENSG00000163565.18,17
ENSG00000163568.13,36
ENSG00000163576.17,42
ENSG00000163577.7,29
ENSG00000163584.17,54
ENSG00000163597.14,37
ENSG00000163605.14,12
ENSG00000163624.5,1
ENSG00000163626.16,4
ENSG00000163633.10,10
ENSG00000163634.11,401
ENSG00000163636.10,101
ENSG00000163655.15,166
ENSG00000163659.12,1
ENSG00000163660.11,25
ENSG00000163682.15,1582
ENSG00000163683.11,44
ENSG00000163684.11,4
ENSG00000163689.18,19
ENSG00000163694.14,1
ENSG00000163702.18,1
ENSG00000163703.17,10
ENSG00000163714.17,243
ENSG00000163719.18,30
ENSG00000163728.10,15
ENSG00000163734.4,3
ENSG00000163743.13,64
ENSG00000163754.17,25
ENSG00000163755.8,3
ENSG00000163781.12,20
ENSG00000163788.13,30
ENSG00000163807.5,70
ENSG00000163808.16,23
ENSG00000163811.11,16
ENSG00000163812.13,91
ENSG00000163814.7,2
ENSG00000163818.16,25
ENSG00000163832.15,42
ENSG00000163848.18,9
ENSG00000163866.8,49
ENSG00000163872.15,14
ENSG00000163874.8,1
ENSG00000163875.15,279
ENSG00000163882.9,143
ENSG00000163900.10,12
ENSG00000163902.11,93
ENSG00000163913.11,9
ENSG00000163918.10,349
ENSG00000163923.9,202
ENSG00000163931.15,78
ENSG00000163933.9,3
ENSG00000163938.16,65
ENSG00000163939.18,1
ENSG00000163946.13,73
ENSG00000163950.12,279
ENSG00000163956.10,99
ENSG00000163958.13,12
ENSG00000163960.11,6
ENSG00000163975.11,14
ENSG00000163993.6,25
ENSG00000164008.13,91
ENSG00000164011.17,9
ENSG00000164022.16,247
ENSG00000164023.14,36
ENSG00000164024.11,4
ENSG00000164031.16,17
ENSG00000164032.11,2208
ENSG00000164045.11,15
ENSG00000164053.17,8
ENSG00000164054.15,55
ENSG00000164056.10,21
ENSG00000164062.12,21
ENSG00000164070.11,1
ENSG00000164074.14,72
ENSG00000164077.13,9
ENSG00000164081.12,29
ENSG00000164087.7,22
ENSG00000164091.11,33
ENSG00000164096.12,387
ENSG00000164104.11,2643
ENSG00000164105.3,178
ENSG00000164107.8,3
ENSG00000164109.13,374
ENSG00000164111.14,531
ENSG00000164117.12,3
ENSG00000164118.12,43
ENSG00000164124.10,228
ENSG00000164134.12,1
ENSG00000164144.14,38
ENSG00000164151.11,26
ENSG00000164162.12,121
ENSG00000164163.10,124
ENSG00000164164.15,5
ENSG00000164167.9,146
ENSG00000164169.12,1
ENSG00000164172.18,30
ENSG00000164180.13,24
ENSG00000164182.10,144
ENSG00000164190.16,29
ENSG00000164211.12,35
ENSG00000164219.9,41
ENSG00000164221.12,66
ENSG00000164237.8,174
ENSG00000164241.13,74
ENSG00000164244.20,64
ENSG00000164252.12,28
ENSG00000164253.12,71
ENSG00000164258.11,285
ENSG00000164266.10,30
ENSG00000164292.12,94
ENSG00000164294.13,53
ENSG00000164306.10,1
ENSG00000164307.12,10
ENSG00000164309.14,25
ENSG00000164323.12,41
ENSG00000164329.13,21
ENSG00000164332.7,30
ENSG00000164346.9,6
ENSG00000164347.17,29
ENSG00000164366.3,6
ENSG00000164402.13,10
ENSG00000164405.10,1239
ENSG00000164414.16,41
ENSG00000164466.12,41
ENSG00000164494.11,12
ENSG00000164506.14,138
ENSG00000164508.4,15
ENSG00000164512.17,17
ENSG00000164543.5,86
ENSG00000164548.10,29
ENSG00000164574.15,15
ENSG00000164576.11,13
ENSG00000164587.11,4662
ENSG00000164597.13,1
ENSG00000164604.12,1
ENSG00000164609.9,124
ENSG00000164610.8,9
ENSG00000164611.12,631
ENSG00000164615.4,20
ENSG00000164626.8,6
ENSG00000164659.14,70
ENSG00000164675.10,92
ENSG00000164683.16,30
ENSG00000164687.10,23
ENSG00000164695.4,51
ENSG00000164713.9,18
ENSG00000164733.20,173
ENSG00000164751.14,24
ENSG00000164754.12,179
ENSG00000164758.7,318
ENSG00000164815.10,78
ENSG00000164818.15,1
ENSG00000164823.9,10
ENSG00000164828.17,12
ENSG00000164830.17,4
ENSG00000164867.10,46
ENSG00000164885.12,38
ENSG00000164889.12,1
ENSG00000164896.19,20
ENSG00000164897.12,66
ENSG00000164898.12,91
ENSG00000164902.13,16
ENSG00000164916.10,38
ENSG00000164919.10,1007
ENSG00000164920.9,4
ENSG00000164924.17,486
ENSG00000164933.11,8
ENSG00000164934.13,63
ENSG00000164941.13,22
ENSG00000164953.15,16
ENSG00000164961.15,86
ENSG00000164967.9,50
ENSG00000164970.14,1
ENSG00000164975.15,12
ENSG00000164978.17,30
ENSG00000164985.14,94
ENSG00000165030.3,19
ENSG00000165055.15,12
ENSG00000165060.11,51
ENSG00000165092.12,13
ENSG00000165102.14,2
ENSG00000165118.14,34
ENSG00000165119.18,182
ENSG00000165152.8,11
ENSG00000165156.14,18
ENSG00000165169.10,1
ENSG00000165175.15,10
ENSG00000165209.18,106
ENSG00000165219.21,7
ENSG00000165233.17,64
ENSG00000165244.6,21
ENSG00000165264.10,270
ENSG00000165269.12,7
ENSG00000165272.14,9
ENSG00000165275.9,19
ENSG00000165280.15,131
ENSG00000165283.15,171
ENSG00000165304.7,199
ENSG00000165322.17,22
ENSG00000165325.13,211
ENSG00000165389.6,15
ENSG00000165392.9,3
ENSG00000165410.14,16
ENSG00000165416.14,251
ENSG00000165417.11,69
ENSG00000165449.11,1
ENSG00000165475.13,10
ENSG00000165476.12,75
ENSG00000165480.15,39
ENSG00000165487.13,108
ENSG00000165490.12,3
ENSG00000165494.10,38
ENSG00000165501.16,37
ENSG00000165502.6,1065
ENSG00000165506.14,37
ENSG00000165512.4,89
ENSG00000165516.10,1
ENSG00000165525.17,29
ENSG00000165526.8,14
ENSG00000165527.6,13
ENSG00000165555.9,14
ENSG00000165584.15,1
ENSG00000165609.12,304
ENSG00000165629.19,842
ENSG00000165630.13,54
ENSG00000165637.13,349
ENSG00000165644.10,11
ENSG00000165650.11,10
ENSG00000165669.13,95
ENSG00000165671.18,25
ENSG00000165672.6,278
ENSG00000165675.16,18
ENSG00000165678.19,1279
ENSG00000165688.11,91
ENSG00000165698.15,11
ENSG00000165699.13,7
ENSG00000165704.14,583
ENSG00000165732.12,104
ENSG00000165733.7,46
ENSG00000165775.17,76
ENSG00000165792.17,20
ENSG00000165795.20,6
ENSG00000165806.19,22
ENSG00000165810.16,20
ENSG00000165819.11,4
ENSG00000165832.5,1
ENSG00000165861.13,23
ENSG00000165891.15,15
ENSG00000165898.13,132
ENSG00000165912.15,7
ENSG00000165915.13,13
ENSG00000165916.8,254
ENSG00000165934.12,50
ENSG00000165948.10,23
ENSG00000165949.12,39
ENSG00000165970.11,1
ENSG00000165983.14,27
ENSG00000165997.4,40
ENSG00000166002.6,23
ENSG00000166004.14,83
ENSG00000166012.14,79
ENSG00000166037.10,237
ENSG00000166123.13,36
ENSG00000166128.12,36
ENSG00000166130.14,4
ENSG00000166136.15,32
ENSG00000166140.17,17
ENSG00000166145.14,7
ENSG00000166153.16,11
ENSG00000166164.15,97
ENSG00000166165.12,348
ENSG00000166169.16,10
ENSG00000166171.12,25
ENSG00000166181.12,90
ENSG00000166192.14,18
ENSG00000166197.16,61
ENSG00000166199.12,42
ENSG00000166200.14,22
ENSG00000166206.13,37
ENSG00000166224.16,29
ENSG00000166225.8,17
ENSG00000166226.12,396
ENSG00000166228.8,45
ENSG00000166260.10,54
ENSG00000166266.13,78
ENSG00000166272.16,14
ENSG00000166275.15,11
ENSG00000166289.5,32
ENSG00000166295.8,614
ENSG00000166321.13,40
ENSG00000166326.6,22
ENSG00000166333.13,51
ENSG00000166337.9,187
ENSG00000166340.14,66
ENSG00000166347.18,318
ENSG00000166349.9,22
ENSG00000166352.15,39
ENSG00000166394.14,19
ENSG00000166441.12,1434
ENSG00000166451.13,71
ENSG00000166452.11,108
ENSG00000166454.9,11
ENSG00000166471.10,146
ENSG00000166477.12,11
ENSG00000166479.9,12
ENSG00000166483.10,71
ENSG00000166501.12,185
ENSG00000166503.8,75
ENSG00000166508.17,530
ENSG00000166526.16,39
ENSG00000166548.15,2
ENSG00000166557.12,58
ENSG00000166562.8,17
ENSG00000166575.16,49
ENSG00000166582.9,53
ENSG00000166595.11,232
ENSG00000166598.12,778
ENSG00000166710.17,858
ENSG00000166734.18,61
ENSG00000166741.7,6
ENSG00000166747.12,32
ENSG00000166783.19,4
ENSG00000166788.9,78
ENSG00000166793.10,9
ENSG00000166797.10,549
ENSG00000166801.15,57
ENSG00000166803.10,704
ENSG00000166822.12,29
ENSG00000166825.13,2
ENSG00000166845.13,1
ENSG00000166847.9,25
ENSG00000166848.5,81
ENSG00000166851.14,32
ENSG00000166855.9,30
ENSG00000166881.9,59
ENSG00000166887.15,3
ENSG00000166888.10,9
ENSG00000166889.13,18
ENSG00000166896.7,1
ENSG00000166900.14,47
ENSG00000166902.4,170
ENSG00000166913.12,262
ENSG00000166923.10,3
ENSG00000166925.8,31
ENSG00000166938.12,6
ENSG00000166946.13,191
ENSG00000166963.12,26
ENSG00000166965.12,8
ENSG00000166971.16,41
ENSG00000166974.12,96
ENSG00000166986.12,133
ENSG00000166987.14,3
ENSG00000167004.12,445
ENSG00000167005.13,77
ENSG00000167034.9,3
ENSG00000167077.12,23
ENSG00000167085.11,33
ENSG00000167088.10,766
ENSG00000167105.7,21
ENSG00000167110.16,40
ENSG00000167112.9,107
ENSG00000167113.10,114
ENSG00000167118.10,14
ENSG00000167123.18,9
ENSG00000167136.6,1
ENSG00000167182.12,4
ENSG00000167186.10,48
ENSG00000167196.13,79
ENSG00000167257.10,29
ENSG00000167258.13,1
ENSG00000167264.17,28
ENSG00000167272.10,132
ENSG00000167283.7,2050
ENSG00000167286.9,490
ENSG00000167315.17,89
ENSG00000167325.14,124
ENSG00000167355.7,24
ENSG00000167380.16,14
ENSG00000167397.14,276
ENSG00000167434.9,1
ENSG00000167460.14,50
ENSG00000167461.11,1
ENSG00000167468.16,702
